AAAAUTOCLUB,"Group for drivers"
INSENSITIVE,"Coldhearted"
INSEPARABLE,"Always together"
INSIDECHOKE,"Well-hidden car engine part?"
INSIDEMOVES,"Professional player's trade secrets?"
INSIDEOROUT,"Location choices"
INSIDEPITCH,"Brushback, e.g."
INSIDESCOOP,"Journalist's information: 2 wds."
INSIDESCOOP,"Privileged information"
INSIDESTORY,"Reporter's find, perhaps"
INSIDESTORY,"Scoop"
INSIDETRACK,"Advantageous position"
INSIDETRACK,"Good place to be in racing"
INSIDETRACK,"It provides an advantage"
INSIDETRACK,"Position of advantage"
INSIDETRADE,"Organ transplant?"
INSIDETURNS,"Aircraft maneuvers"
INSINCERITY,"BULL"
INSISTENTLY,"ERRATICALLY"
INSISTSUPON,"Demands"
INSPIRATION,"What coaches provide"
INSTALLEDWS,"Did a PC chore"
INSTALLEDWS,"Did a home builder's chore"
INSTANTFILM,"Land development?"
INSTANTGIRL,"Acme product that simplifies dating, from Boston Quackie, 1957"
INSTANTRLAY,"Help in checking calls"
INSTANTSOUP,"Cupful made from cubes"
INSTIGATORS,"They're always starting something"
INSTILLLIFE,"Play Frankenstein?"
INSTILLLIFE,"What Dr. Frankenstein tried to do?"
INSTITUTION,"Established organization"
INSTRUCTION,"Teaching"
INSULARAREA,"Guam or Puerto Rico, to the State Department"
INSULARAREA,"Northern Mariana Islands, to the State department"
INSURETHING,"Write a policy on a certainty?"
INSURETHING,"Write a policy on a good bet?"
INTAKEISSUE,"Reason to call a plumber?"
INTEGRALPOT,"Essential piece of cookware?"
INTEGRATION,"Bringing together of formerly separated races"
INTELESCOPE,"Means to see a faraway computer company?"
INTELINSIDE,"Computer processor slogan"
INTELLIGENT,"Bright"
INTELLIGENT,"DNA"
INTEMPERATE,"Having a harsh climate"
INTEMPERATE,"Prone to excess"
INTENTPOLES,"Sharply focused Warsaw residents?"
INTERCEDENT,"Coming between"
INTERCHANGE,"Switch"
INTERCOUNTY,"Regional"
INTERDEPEND,"Lean on one another for support"
INTERESTING,"""Ver-r-ry ___!"""
INTERFACING,"Working cooperatively"
INTERLINING,"Inserting"
INTERMEZZOS,"Music: What works provide comic relief between acts of an opera seria?"
INTERNETADS,"And now a page from our sponsors...?"
INTERNETERA,"The Information Age"
INTEROFFICE,"Like some memos"
INTERPRETED,"Explained"
INTERPRETED,"Translated"
INTERRACIAL,"Ethnically diverse"
INTERRELATE,"Become associated"
INTERROBANG,"!/? superimposition"
INTERROGATE,"GRILL"
INTERROGATE,"Pump"
INTERSPERSE,"Work in different enterprises (11)"
INTERSTATES,"R*ES"
INTHEBELFRY,"Bats' place?"
INTHEBLANKS,"Phil ___"
INTHEBOTTLE,"Where to find a genie?"
INTHECELLAR,"Occupying last place"
INTHECHIMPS,"Primatologist's locale?"
INTHECLOSET,"Miraculous event (Part 2)"
INTHECLOSET,"Part 2 of the mystery"
INTHECLOSET,"Skeleton's place?"
INTHECLUTCH,"During a critical time"
INTHEDHOUSE,"Out of favor"
INTHEFAMILY,"ALL ___"
INTHEFUTURE,"Not now?"
INTHEFUTURE,"Quip, part 2"
INTHEGUTTER,"Poorly rolled, perhaps"
INTHEGUTTER,"Vulgar, as a street cleaner?"
INTHEGUTTER,"Where to find the errant mind"
INTHEHOPPER,"About to happen"
INTHEMAKING,"Being produced"
INTHEMIDDLE,"Mitchum film, ""The Man ___"""
INTHEOFFING,"*Likely to happen"
INTHEPOCKET,"""Now he remembers setting $10 aside for pizza - he searches his jacket and finds it ___"""
INTHEPOCKET,"1976 James Taylor album"
INTHESADDLE,"Calling the shots"
INTHESADDLE,"Wielding control"
INTHESHOWER,"End of the quote"
INTHESHOWER,"Where to see a comic strip, to Groucho Marx"
INTHESPRING,"Part 2 of the quote"
INTHESPRING,"Poem, part 2"
INTHETHREAD,"Bankrupt tailor's position?"
INTOLERANCE,"D. W. Griffith classic"
INTOLERANCE,"Lack of sufferance"
INTOTHESINK,"End of the quip"
INTOTHINAIR,"1997 best-seller with the subtitle ""A Personal Account of the Mt. Everest Disaster"""
INTOTHINAIR,"Krakauer book about mountain climbing"
INTOTHINAIR,"One way to vanish"
INTOXICANTS,"Alcoholic beverages"
INTWOPLACES,"End of patient's complaint"
INUREDPARTY,"Hardened person?"
INVENTORYAT,"Daffy-nition, part 2"
INVERTSUGAR,"Je9ns"
INVESTMENTS,"It should be a large portion of your retirement savings"
INVIGORATED,"Ready to take on the world"
INVISIBLEMA,"Novel about a parent who's not apparent?"
INVITEDBACK,"Requested the return of"
INVOICEMAIL,"Bill that's delivered orally?"
INWETCEMENT,"End of riddle"
INYOURTRIBE,"Part 5 of the quotation"
IONEXCHANGE,"Q&A at a TV station?"
IONEXPLORER,"Chemist? (Saturn, Ford)"
IONLYNEEDED,"Start of a quip"
IOOOCENTRAL,"New York station?"
IOOOISLANDS,"Resort area on the U.S./Canada border"
IOOOISLANDS,"St. Lawrence River group"
IOOOISLANDS,"St. Lawrence area"
IOOOISLANDS,"St. Lawrence sight"
IOOOOLEOPRY,"Nashville landmark?"
IOOYEARSWAR,"England-France conflict"
IOOYEARSWAR,"French/English conflict that started in 1337"
IOUSPROCESS,"The logistics of issuing debt?"
IPCRESSFILE,"Len Deighton novel, with ""The"""
IPHONEEMAIL,"Messages on an Apple device"
IPODIATRIST,"Fixer of mp3 players?"
IPODSHUFFLE,"MP3 player that weighs less than an ounce"
IQUITAMAZON,"""That's it! No more e-tail for me!"""
IRAGERSHWIN,"George's brother"
IRAGERSHWIN,"I wrote the lyrics to ""The Man I Love"" -- my brother did the music"
IRANFORIRAN,"Mideast Olympic marathoner's claim?"
IRANIHOWARD,"Asian child actor?"
IRAROLLOVER,"Financial option upon leaving a job"
IRAROLLOVER,"Reinvestment of a kind"
IRATEDINNER,"Event with the in-laws?"
IRATEMOVIES,"""Mad Max"" and ""Twelve Angry Men""?"
IRATEPAYERS,"Incensed bill-footers?"
IRATEPIRATE,"Hook, when angry?"
IRATESETTER,"Furious dog?"
IRENECASTLE,"""Chess mate"" dancer"
IRENECASTLE,"""First Lady of Ballroom Dancing"""
IRENECASTLE,"Ballroom dancer of the early 20th century"
IRENECASTLE,"Classic dancer whose last name at birth was Foote"
IRENECASTLE,"Dancer at the chess match?"
IRENECASTLE,"Dancer who invented the hands-free tango"
IRENECASTLE,"Famed English dancer"
IRENECASTLE,"Half a famous dance team"
IRENECASTLE,"Ragtime-era dancer of stage, vaudeville and motion pictures: 2 wds."
IRENECASTLE,"Vernon's dance partner"
IRENECASTLE,"Vernon's dancing partner"
IRENEHERVEY,"Jack Jones's mother"
IRESTMYACES,"Air marshal's explanation about keeping his pilots alert?"
IRESTMYCASE,"""And there's the proof"""
IRESTMYCASE,"""That just proves it!"""
IRESTMYCASE,"Attorney's closing comment"
IRESTMYCASE,"Statement at the end of an argument"
IRISHBROGUE,"Cork accent"
IRISHBROGUE,"It's hard in Limerick"
IRISHCOFFEE,"Beverage with whiskey and whipped cream"
IRISHCOFFEE,"Drink topped with whipped cream"
IRISHCOFFEE,"Drink with whiskey*"
IRISHCOFFEE,"Part of a continental breakfast"
IRISHCOFFEE,"St. Patrick's Day order #1"
IRISHCOFFEE,"Stiff, hot drink"
IRISHCOFFEE,"Whiskey-enhanced drink"
IRISHCOUNTY,"One of the four that end this puzzle's starred answers"
IRISHEMBLEM,"Shamrock"
IRISHMEADOW,"It's got green clovers"
IRISHPOTATO,"Edible tuber of the nightshade family"
IRISHPOTATO,"Part of an underground spring crop"
IRISHSETTER,"Bird dog breed"
IRISHSETTER,"Breed of Richard Nixon's dog King Timahoe"
IRISHSETTER,"Cork canine"
IRISHSETTER,"Elegant bird dog"
IRISHSETTER,"Hunting dog"
IRISHSETTER,"Mahogany- coated canine"
IRISHSETTER,"Mahogany-coated dog"
IRISHSETTER,"Silky-coated hunter"
IRISHSYMBOL,"GREEN"
IRISMURDOCH,"""Henry and Cato"" writer"
IRISMURDOCH,"""The Bell"" novelist"
IRISMURDOCH,"""The Good Apprentice"" novelist"
IRISMURDOCH,"""We can only learn to love by loving."" source"
IRISMURDOCH,"Author of ""The Sea, the Sea"""
IRISMURDOCH,"British novelist portrayed by Judi Dench in a 2001 biopic"
IRISMURDOCH,"Dame who wrote ""The Good Apprentice"""
IRISMURDOCH,"Dublin-born writer and philosopher"
IRISMURDOCH,"Novelist played by Julie Dench in a 2001 movie"
IRISWHISKEY,"Barley booze, to a florist?"
IRONAGECALF,"FRA ANGELICO's ancient sacrifice?"
IRONCURTAIN,"*Cold War symbol"
IRONCURTAIN,"Barrier named by Churchill"
IRONCURTAIN,"Barrier noted by Churchill"
IRONCURTAIN,"Barrier until 1991"
IRONCURTAIN,"Cold War barrier"
IRONCURTAIN,"Cold War barrier between East and West"
IRONCURTAIN,"Cold War divider"
IRONCURTAIN,"Cold War symbol"
IRONCURTAIN,"Cold war barrier"
IRONCURTAIN,"Continental divide, once"
IRONCURTAIN,"Expression coined by Churchill in 1946"
IRONCURTAIN,"Former European barrier"
IRONCURTAIN,"It ""fell"" in 1991"
IRONCURTAIN,"It was lifted recently"
IRONCURTAIN,"Post-WWII barrier"
IRONCURTAIN,"Post-World War II barrier"
IRONCURTAIN,"Symbolic political barrier"
IRONDARLING,"""Unyielding Sweetheart: Autobiography of a Big-League Pitcher"""
IRONDARLING,"Order to a homemaking spouse?"
IRONHEARTED,"Metallically cruel"
IRONICHORSE,"Mr. Ed being sarcastic?"
IRONICWORKS,"O. Henry stories?"
IRONINGBORE,"Guy who goes on and on about laundry?"
IRONONDECAL,"Certain design transfer"
IRRITATEDLY,"With anger"
IRSAUDITORS,"Govt. workers concerned with returns"
IRVINGFRYAR,"He caught over 800 passes"
IRVINGFRYAR,"WR who was the #1 overall pick in the 1984 draft"
IRVINGSTONY,"Unsmiling author?"
ISAACASIMOV,"""I, Robot"" author"
ISAACASIMOV,"BIOCHEMIST"
ISAACASIMOV,"Only author represented in every major division of the Dewey Decimal System"
ISAACASIMOV,"Sci-fi author who wrote over 500 books"
ISAACASIMOV,"Science writer eyes a chasm, off in a conversation (5,6)"
ISAACASIMOV,"This 1939 graduate of Columbia penned hundreds of fiction and nonfiction books"
ISAACASIMOV,"Writer who held 14 honorary doctorates"
ISAACNEWTON,"An apple famously hit him on the head -- gravity!"
ISAACNEWTON,"Celebrity born Christmas 1642"
ISAACNEWTON,"English philosopher and mathematician (1642-1727) who formulated the law of gravitation: 2 wds."
ISAACNEWTON,"Law of gravitation formulator: 2 wds. [1642-1727]"
ISAACNEWTON,"Man of solemn gravity"
ISAACNEWTON,"Mathematician born 12/25/1642"
ISAACNEWTON,"Scientist who experienced a great fall?"
ISAACNEWTON,"[Hint] Apple on the head"
ISAKDINESEN,"""Babette's Feast"" author, 1950"
ISAKDINESEN,"""Babette's Feast"" writer"
ISAKDINESEN,"""Out of Africa"" author"
ISAKDINESEN,"DENMARK"
ISAKDINESEN,"Meryl Streep role, 1985"
ISAKDINESEN,"Meryl Streep role, 1985: 2 wds."
ISAOEADJANI,"""Camille Claudel"" actress"
ISECONDTHAT,"""Ditto!"""
ISHIROHONDA,"He directed ""Godzilla"""
ISHOULDHAVE,"Start of an advisor's lament"
ISITCHANGES,"Quote, part 3"
ISITSOUPYET,"""Can we eat?"""
ISITSOUPYET,"Question to the cook"
ISLANDCHAIN,"Florida Keys, e.g."
ISLANDCONTI,"Australia"
ISLEOFCAPRI,"Blue Grotto locale"
ISLEOFCAPRI,"Blue Grotto site"
ISLEOFCAPRI,"Home of the Blue Grotto"
ISLEOFCAPRI,"Resort of Southern Italy"
ISLEOFFIGHT,"Offshore WBA venue?"
ISLEOFMANET,"French artist's vacation spot?"
ISLEOFWHITE,"Iceland?"
ISNTITAPITY,"Gershwin tune"
ISNTITSWELL,"""Nifty, huh?"""
ISNTSOGREAT,"End of the quip"
ISOFTENHARD,"Part 3 of the quip"
ISONLYADEBT,"Part 2 of quote"
ISONPARENTS,"End of quip"
ISPIETZSCHE,"Graffiti, part 2"
ISPOINTLESS,"End of the quip"
ISPREFERRED,"Riddle, part 6"
ISSEYMIYAKE,"Avant-garde fashion designer born in Hiroshima"
ISSOMETHING,"Start of a definition beginning ""A New Year's Resolution... """
ISSTOPPEDIS,"Part 2 of the quip"
ISSUENUMBER,"Magazine figure"
ISSUEORDERS,"Lay down the law militarily"
ISSUEPAPERS,"Publish essays?"
ISTHATAFACT,"""Do tell!"""
ISTHATITHAS,"Quotation, part 5"
ISTHEANSWER,"End of epigram"
ISTHEANSWER,"Query: Part 6"
ISTHEARTIST,"Autumn... to Takayuki Ikkaku"
ISTHEONEWHO,"Middle of the quip"
ISTHEREABEE,"Apiarist's request on ""Wheel of Fortune""?"
ISTOSUGGEST,"Part 3 of remark"
ISUREHOPESO,"Phrase of expectant desire"
ISWHOLESOME,"Part 3 of the quote"
ISWHOLESOME,"Poem, part 3"
ITALIANBRED,"Raised in Rome?"
ITALIANHERO,"Garibaldi in Genoa?"
ITALIANHERO,"Grinder"
ITALIANHERO,"Member of the 2006 World Cup champion team?"
ITALIANICES,"Cooling refreshments"
ITALIANICES,"Desserts in Siena?"
ITALIANISIS,"Egyptian goddess's cool treats?"
ITALIANISIS,"Flavored frozen treats, to an Egyptian goddess?"
ITALIANISIS,"Gelati?"
ITALIANISIS,"Summer treat for a goddess?"
ITALIANLIRA,"Former currency unit in Rome"
ITALIASHIRE,"""A County in la Nazione: Autobiography of a 'Godfather' Star"""
ITALIASHIRE,"English-style county near Roma?"
ITCANBETOLD,"""Now ___"""
ITCHGAYLORD,"Fleabitten gymnast?"
ITCOMMITTED,"First part of the waiter's reply"
ITCOMMITTED,"Waiter's deduction (Part 1)"
ITCOULDNTBE,"""Impossible!"""
ITEMOFNOUSE,"JUNK"
ITGOODORBAD,"End of the quote"
ITHEBEGINIG,"Biblical opening"
ITHINKILLPA,"Turndown #2"
ITINERARIES,"Plans of a kind"
ITINERARIES,"Travelocity printouts"
ITINTHEFOOD,"End of quip"
ITISCERTAIN,"Magic 8-ball reply"
ITISNTRIGHT,"1956 hit by The Platters"
ITRIEDTOBEA,"Start of a quip"
ITRIEDTOBUY,"Start of a quip from a hunter"
ITSACADEMIC,"Debaters' conclusion about school?"
ITSALLGREEK,"""___ tome!"""
ITSALLRIGHT,"Reassuring words"
ITSAMIRACLE,"""Amazing!"""
ITSAMIRACLE,"""Never in my wildest imagination did I see this happening!"""
ITSAMIRACLE,"1984 Culture Club hit"
ITSAMIRACLE,"Reaction to the inexplicable"
ITSAMIRACLE,"Reaction to the unexplainable"
ITSAMIRACLE,"Revival meeting shout"
ITSAMIRACLE,"What the agent said when Megan Fox showed up?"
ITSAMISTAKE,"... and Men At Work sang..."
ITSBETTERTO,"Start of a quip"
ITSCANCELED,"""...unless ___"""
ITSCURTAINS,"""What's the best way to block sunlight?"""
ITSDELOVELY,"""Red, Hot and Blue!"" tune"
ITSDELOVELY,"Cole Porter classic"
ITSEASIERTO,"Quip, part 1"
ITSEEMSABLE,"More of quip"
ITSELECTRIC,"Title for this puzzle"
ITSEXCITING,"""This is more than just a product,"" in Madison Avenue-speak"
ITSINTHEBAG,"Confident comment"
ITSNEVERTOO,"Part 1 of a quip"
ITSNEVERTOO,"Part 4 of quip"
ITSNEVERTOO,"Start of a quip"
ITSNOBIGGIE,"""Nothing to worry about..."""
ITSNOBOTHER,"""I'd be happy to"""
ITSNOTTAXED,"End of comment"
ITSOKWITHME,"'That's just peachy'"
ITSONEOFTHE,"Explanation of golf's popularity (Part 1)"
ITSONLYLOVE,"""Help!"" song about not being intimidated by Davis on the links?"
ITSPASTNOON,"End of quip"
ITSSHOCKING,"""I'm appalled!"""
ITSSHOWTIME,"""Curtain up!"""
ITSSHOWTIME,"'Curtain up!'"
ITSSHOWTIME,"Stage manager's exhortation"
ITSTHATTIME,"""You can't procrastinate any longer"""
ITSTHETRUTH,"""No kidding!"""
ITSTODIEFOR,"I've gotta have it!"
ITSTODIEFOR,"I've gotta have one!"
ITSYOUILIKE,"""Your skin, your eyes, your feelings, whether old or new"""
ITTOTHEFOOD,"End of the quip"
ITUNESSTORE,"Important player in the music business"
ITWENTYNINE,"Second winning number?"
IUSEDTOLIVE,"Start of a remark"
IUSEDTOLOOK,"Start of a comment by Yogi Berra"
IVANCOURIER,"Czar's messenger?"
IVANHOHOHOE,"Merry Scott hero?"
IVANINKLING,"Solver with a hunch?"
IVANLENTILS,"Czech-Middle Eastern sports eatery?"
IVANQUISHED,"Beaten by a tsar?"
IVANREITMAN,"Director of ""Meatballs"" and ""Stripes"""
IVENOTBENIN,"'If so,' I remarked wearily as we entered Porto Novo, 'it's the only place ___'"
IVINFUSIONS,"4 fresh cups of tea?"
IVORYLEAGUE,"Guild of African poachers?"
IVORYLEAGUE,"Where elephants go to college?"
IVORYTOWERS,"Academic settings"
IVYLEAGUERS,"Cantabs and Elis"
IVYLEAGUERS,"Students at some prestigious colleges"
IWANTTOLIVE,"""This world shan't destroy me!!!"""
IWASBORNATA,"Middle of the quip"
IWASNTMADEA,"Verse: Part 6"
IWILLDEFEND,"Start of Moliere statement"
IWISHITWERE,"Start of Ed Howe quip"
IWITNESSERS,"Newspaper corespondents, perhaps"
IWONTGROWUP,"Song introduced in 1954 by Mary Martin"
IXINCHNAILS,"Trent Reznor, when in Rome?"
IXTACIHUATL,"Volcano southeast of Mexico City"
JABBATHEHUT,"""Star Wars"" character"
JABBERWOCKY,"""He left it dead, and with its head / He went galumphing back"" source"
JABBERWOCKY,"""O frabjous day!"" source"
JABBERWOCKY,"Carroll character"
JABBERWOCKY,"Lewis Carroll poem"
JABBERWOCKY,"Lewis Carroll poem full of coined words"
JABBERWOCKY,"Meaningless talk"
JABBERWOCKY,"Poem that begins ""'Twas brillig"""
JABBERWOCKY,"Poem with a jubjub bird and a tumtum tree"
JABBERWOCKY,"Source of the starred neologisms"
JABSOFSTEEL,"Mike Tyson's punches?"
JACKANDJILL,"Adam Sandler cringefest that topped many ""Worst Movie of 2011"" lists"
JACKANDJILL,"Children's magazine"
JACKANDJILL,"Fall couple?"
JACKANDJILL,"Start of a nursery rhyme"
JACKANDJILL,"Suppliers of water tumblers?"
JACKANDJILL,"Tumblers"
JACKANDJILL,"Unfortunate hill climbers"
JACKDANIELS,"Brand sold in square bottles"
JACKDANIELS,"Drinker's drink, perhaps"
JACKDANIELS,"Mellowing spirits since 1866"
JACKDANIELS,"Tennessee whiskey produced in a dry county"
JACKDEMPSEY,"'20s heavyweight champ"
JACKDEMPSEY,"Boxer mentioned by the Notorious B.I.G. in ""Freestyle"""
JACKDEMPSEY,"Boxing great born 6-24-1895"
JACKDEMPSEY,"First athlete to appear on the cover of Time magazine"
JACKDEMPSEY,"Subject of this puzzle, born 6/24/1895"
JACKDEMPSEY,"Winner of the FIRST heavyweight title bout heard on radio"
JACKETLAPEL,"Place for a pin"
JACKIECOINS,"Money with Gleason's portrait?"
JACKIEMASON,"Author of the quip"
JACKIEMASON,"Stoneworker-comic?"
JACKJOHNSON,"Heavyweight champ, 1908-15"
JACKKEROUAC,"""Big Sur"" novelist"
JACKKEROUAC,"""On the Road"" author"
JACKKEROUAC,"Doctor Sax author"
JACKLALANNE,"... Fitness"
JACKLALANNE,"Longtime fitness guru"
JACKLAMBERT,"Noted Steelers linebacker"
JACKLEMMING,"Oscar-winning rodent?"
JACKOFCLUBS,"Pam"
JACKOFCLUBS,"Pam <--> Nicklaus's caddie's burden"
JACKPALANCE,"""City Slickers"" Oscar winner"
JACKPALANCE,"Boxer-turned-actor"
JACKPALANCE,"Dracula portrayer: 1973"
JACKPALANCE,"Twins player in ""House of Numbers"""
JACKRABBITS,"Prepare Volkswagens for repairs?"
JACKSANFORD,"1957 NL ROOKIE OF THE YEAR (PHILLIES)"
JACKSCHMITT,"Senator from New Mexico, 1977-83"
JACKSHAMMER,"Tool for Nicklaus?"
JACKSONFIVE,"Odd group that included Jackie"
JACKSONFIVE,"Randy, Marlon, etc."
JACKSONHOLE,"Valley in NW Wyo."
JACKSONHOLE,"Wyoming resort region"
JACKSONMISS,"Young Eudora Welty?"
JACKSPARROW,"""Pirates of the Caribbean"" hero"
JACKSPARROW,"Captain of the Black Pearl"
JACKSPARROW,"Johnny Depp's Caribbean pirate"
JACKSPARROW,"Johnny Depp's swashbuckler"
JACKSRABBIT,"Pet for a nursery rhyme boy?"
JACKTRIPPER,"""Three's Company"" role"
JACOBALTERS,"Isaac's son works as a tailor?"
JACOBJAVITS,"Longtime New York senator for whom a center is named"
JACOBMARLEY,"""A Christmas Carol"" ghost"
JACOBMARLEY,"Dickensian ghost"
JACOBMARLEY,"The deceased business partner"
JACOBRABBIT,"Kind of start, formally"
JACOBRABBIT,"Like a fast start, formally?"
JACSCARTIER,"Canada's traditional founder, if Quebec secedes?"
JADEDEDITOR,"""When you've corrected one article, you've corrected 'em all"" sort"
JAILBIRDIES,"Leavenworth links highlights?"
JAILSTRETCH,"Hard time, so to speak"
JAKELAMBADA,"Dancing boxer?"
JAKELAMOTTA,"De Niro Oscar role"
JAKELAMOTTA,"Middleweight boxing champion before Sugar Ray Robinson"
JAMAICARIME,"Frost in the West Indies?"
JAMBSESSION,"Time spent installing a doorframe?"
JAMESARNESS,"Marshall Dillon of ""Gunsmoke"""
JAMESARNESS,"TV's Matt Dillon"
JAMESBROLIN,"Deep-voiced actor on ""Hotel"""
JAMESCAGNEY,"He killed Steve Cochran in ""White Heat"""
JAMESCAGNEY,"He played ""The Public Enemy"""
JAMESCAGNEY,"Hollywood's quintessential tough guy (1899-1986)"
JAMESCHOICE,"Dublin or nothin?"
JAMESCOBURN,"""Magnificent Seven"" co-star"
JAMESCOBURN,"He played ""Our Man Flint"""
JAMESCOBURN,"Magnificent Seven co-star"
JAMESCOBURN,"One of the Magnificent Seven"
JAMESCOOPER,"'The Leather Tales' author?"
JAMESCOTTON,"Legendary harmonica player/singer"
JAMESDICKEY,"Author of ""Deliverance"""
JAMESDOOHAN,"He played Scotty on ""Star Trek"""
JAMESFARMER,"CORE cofounder"
JAMESFARMER,"Secretary of Agriculture (civil rights leader)"
JAMESFRANCO,"One of three Oscar hosts who were also nominated for an award the same year"
JAMESGALWAY,"*Belfast-born flutist"
JAMESGALWAY,"Belfast-born flautist knighted in 2001"
JAMESGALWAY,"Belfast-born flute player"
JAMESGALWAY,"Man iwth a golden flute"
JAMESGARNER,"Firebird-driving ""Rockford Files"" actor (5,6)"
JAMESGARNER,"He played Bret Maverick"
JAMESGARNER,"Jim Rockford portrayer"
JAMESHARRIS,"NFC's leading passer, 1976"
JAMESHILTON,"He should have written ""Hotel"""
JAMESHORNER,"He scored ""Titanic"""
JAMESKPOLKA,"U.S. president, when on ""Dancing With the Stars""?"
JAMESLOVELL,"Apollo 13 commander"
JAMESMONROE,"Revolutionary War veteran who served as a U.S. president"
JAMESMONROE,"Under him, the Missouri Compromise was passed (#5, 1817-25): 2 wds."
JAMESMOONER,"Crude prankster of a President?"
JAMESMORENO,"President turned 1961 Oscar winner"
JAMESNOMORE,"President of Quitters International?"
JAMESPOLKAS,"President dances!"
JAMESTAILOR,"Singer turned clothier"
JAMESTAYLOR,"""Fire and Rain"" singer"
JAMESTAYLOR,"""How Sweet It Is"" singer"
JAMESTAYLOR,"""You've Got a Friend"" singer"
JAMESTAYLOR,"Eponymous debut album of 1968 released on Apple Records"
JAMESTAYLOR,"Singer/songwriter born 3/12/1948"
JAMESTRAFIT,"Ousted Ohio politico"
JAMESWILSON,"First non-U.S. born Supreme Court justice"
JAMIEOLIVER,"""The Naked Chef"""
JAMMEDTOGET,"Serried"
JAMSESSIONS,"Jazz performances"
JANANOVOTNA,"Name in the news, July 4, 1998"
JANECAMPION,"Kiwi who directed ""The Piano"""
JANEDITHERS,"High-strung actress?"
JANEGOODALL,"Author of ""In the Shadow of Man"""
JANEGOODALL,"British primatologist"
JANEGOODALL,"English zoologist (1934-) who did detailed, long-term research on chimpanzees: 2 wds."
JANESEYMOUR,"She's Dr. Quinn, Medicine Woman"
JANETMASLIN,"*""For the Love of Movies"" author"
JANISJOPLIN,"""Me and Bobby McGee"" singer"
JANISJOPLIN,"""Me and Bobby McGee"" singer, 1971"
JANISJOPLIN,"*Singer whose last high-profile appearance was attending her high school reunion"
JANISJOPLIN,"Rock legend with one Top 40 hit, a 1971 ballad that topped the charts"
JANISJOPLIN,"Rock star born in Port Arthur, Texas"
JANISJOPLIN,"Singer nicknamed ""Pearl"""
JANISJOPLIN,"Woodstock singer"
JANNCONCERT,"Performance by ""Rolling Stone"" co-founder Wenner?"
JANSTENERUD,"Norwegian-born kicker in the Hall of Fame"
JANSTENERUD,"Norwegian-born placekicking legend"
JAPANESEKEN,"China doll's counterpart?"
JAPANESEYEN,"Tokyo monetary unit"
JARJARBINKS,"""Star Wars"" character"
JARJARBINKS,"""Star Wars"" role"
JARJARBINKS,"Character from ""The Phantom Menace"""
JARJARBINKS,"Comical character in ""Star Wars"" films"
JARJARBINKS,"Gungan general of ""Star Wars"" films"
JARJARBINKS,"Gungan in 'The Phantom Menace'"
JAROMIRJAGR,"Hockey player with the record for most overtime goals (16)"
JAROMIRJAGR,"Hockey's 1995 Art Ross Trophy winner"
JARREYNOLDS,"Tobacco magnate who now stores pickles?*"
JARSPOETICA,"""Ode on a Grecian Urn"" genre?"
JASMINERICE,"Thai export"
JASONBOURNE,"Robert Ludlum protagonist"
JASONGIAMBI,"2000 American League MVP"
JASONSCHEFF,"He replaced Peter Cetera in 1985"
JASPERJOHNS,"""Numbers"" abstract expressionist artist"
JASPERJOHNS,"""Three Flags"" artist"
JASPERJOHNS,"American painter whose subjects included numbers, letters and flags: 2 wds."
JAVAAPPLETS,"Interactive features of starbucks.com?"
JAVAPROGRAM,"Many an online game"
JAVASCRIPTS,"Lecture topic in computer programming—or maybe Asian drama?"
JAVATHEHUTT,"Coffee-loving ""Star Wars"" character?"
JAWBOFANASS,"Sampson's weapon"
JAWBREAKERS,"Some hard candies"
JAWDROPPING,"""Yammena-yammena-yammena"""
JAWDROPPING,"Incredible"
JAWDROPPING,"Totally awesome"
JAWDROPPING,"Utterly awesome"
JAZZARTISTS,"Chick Corea and Miles Davis"
JAZZFUNERAL,"Festive/macabre New Orleans tradition"
JAZZMANHIRT,"RHYTHMICAL"
JAZZQUARTET,"One usually has a bass"
JAZZQUINTET,"Combo, perhaps"
JAZZSESSION,"Ax wielders' get-together?"
JAZZSESSION,"Swingers' get-together?"
JAZZZEALOTS,"Avid ""Down Beat"" fans?"
JBPRIESTLEY,"""Bright Day"" author"
JEANAYEAGER,"9 days, 3 minutes, 44 seconds nonstop by plane"
JEANBALUKAS,"Pool champion since she was 12"
JEANJACKETS,"Western wear"
JEANJACQUES,"Philosopher Rousseau"
JEANLAFFITE,"Pirate pardoned after War of 1812"
JEANLAFITTE,"Freebooter who was pardoned by James Madison"
JEANLUCPARD,"TV captain of the 1980s and 1990s"
JEANNESAUVE,"Canada's first woman governor general"
JEANSHALLOT,"Onion made of a sturdy cotton fabric?"
JEANSIMMONS,"Elizabeth in ""Young Bess"""
JEANSJACKET,"Denim item"
JEANSJACKET,"Fall coat"
JEANSJACKET,"Stylish denim wear"
JEANSMARTER,"Improved actress?"
JEANVALJEAN,"""Les Miserables"" protagonist"
JEANVALJEAN,"Fictional Bagne of Toulon prisoner"
JEANVALJEAN,"Repetitive Hugo hero"
JEDCLAMPETT,"Dad of Elly May"
JEEPOFFAITH,"ATV that requires you say a ""Hail Mary"" before starting the engine?"
JEEPTHRILLS,"Cherokee joyrides?"
JEEPTHRILLS,"Kicks in a car?"
JEFFBRIDGES,"""The Dude"" in ""The Big Lebowski"""
JEFFBRIDGES,"Star of ""The Vanishing"" (1993 version)"
JEFFFISCHER,"Co-manager of the Rule Breaker portfolio"
